timestamp_epoch,timestamp_iso,hostname,ap_ip,interface,banda,canal,sinal_dbm
1785094120.013,2026-07-26T16:28:40.014-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-70
1785094120.326,2026-07-26T16:28:40.327-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-66
1785094120.652,2026-07-26T16:28:40.654-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-64
1785094120.966,2026-07-26T16:28:40.967-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-66
1785094121.278,2026-07-26T16:28:41.279-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-66
1785094121.591,2026-07-26T16:28:41.592-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-67
1785094121.905,2026-07-26T16:28:41.906-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-68
1785094122.218,2026-07-26T16:28:42.220-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-64
1785094122.532,2026-07-26T16:28:42.533-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-68
1785094122.841,2026-07-26T16:28:42.843-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-71
1785094123.154,2026-07-26T16:28:43.155-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-66
1785094123.469,2026-07-26T16:28:43.470-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-69
1785094123.793,2026-07-26T16:28:43.794-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-68
1785094124.106,2026-07-26T16:28:44.107-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-65
1785094124.419,2026-07-26T16:28:44.420-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-64
1785094124.730,2026-07-26T16:28:44.731-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-69
1785094125.042,2026-07-26T16:28:45.043-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-67
1785094125.355,2026-07-26T16:28:45.356-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-68
1785094125.355,2026-07-26T16:28:45.356-03:00,ap-5,192.168.20.6,phy1-ap0,5 GHz,60,-48
1785094125.673,2026-07-26T16:28:45.675-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-68
1785094125.673,2026-07-26T16:28:45.675-03:00,ap-5,192.168.20.6,phy1-ap0,5 GHz,60,-49
1785094125.986,2026-07-26T16:28:45.988-03:00,ap-5,192.168.20.6,phy1-ap0,5 GHz,60,-51
1785094125.986,2026-07-26T16:28:45.988-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-68
1785094126.300,2026-07-26T16:28:46.301-03:00,ap-5,192.168.20.6,phy1-ap0,5 GHz,60,-48
1785094126.300,2026-07-26T16:28:46.301-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-68
1785094126.613,2026-07-26T16:28:46.614-03:00,ap-5,192.168.20.6,phy1-ap0,5 GHz,60,-53
1785094126.613,2026-07-26T16:28:46.614-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-68
1785094126.928,2026-07-26T16:28:46.929-03:00,ap-5,192.168.20.6,phy1-ap0,5 GHz,60,-48
1785094126.928,2026-07-26T16:28:46.929-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-68
1785094127.240,2026-07-26T16:28:47.241-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-68
1785094127.240,2026-07-26T16:28:47.241-03:00,ap-5,192.168.20.6,phy1-ap0,5 GHz,60,-47
1785094127.554,2026-07-26T16:28:47.555-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-68
1785094127.554,2026-07-26T16:28:47.555-03:00,ap-5,192.168.20.6,phy1-ap0,5 GHz,60,-49
1785094127.867,2026-07-26T16:28:47.869-03:00,ap-5,192.168.20.6,phy1-ap0,5 GHz,60,-45
